Domaine,Parcel,Variety,Commue,New Oak,Wholecluster,Destem,Barrel Aging (Month),Viticulture,Maceration,Extraction,Cooper
Domaine Arnoux-Lachaux,Village,Pinot Noir,Vosne-Romanee,10%,70%,30%,12,Organic Biodynamic,,Pumping over and splashing (delestage),
Domaine Arnoux-Lachaux,Premier cru,Pinot Noir,Vosne-Romanee,20%,50%,50%,14,Organic Biodynamic,,Pumping over and splashing (delestage),
Domaine Arnoux-Lachaux,Grand cru,Pinot Noir,Vosne-Romanee,30%,100%,0%,14,Organic Biodynamic,,Pumping over and splashing (delestage),
Georges Noëllat,Grand cru,Pinot Noir,Vosne-Romanee,100%,0%,100%,20,Lutte raisonnée,Cool premaceration,Punch-down and pumping over,
Georges Noëllat,Premier cru,Pinot Noir,Vosne-Romanee,50%,0%,100%,18,Lutte raisonnée,Cool premaceration,Punch-down,
Georges Noëllat,Village,Pinot Noir,Vosne-Romanee,25%,0%,100%,20,Lutte raisonnée,Cool premaceration,Punch-down,
Georges Noëllat,Bourgogne Rouge,Pinot Noir,Vosne-Romanee,25%,0%,100%,18,Lutte raisonnée,Cool premaceration,Punch-down and pumping over,
Domaine de la Romanée Conti,Grand cru,Pinot Noir,Vosne-Romanee,100%,80%,20%,18,Organic Biodynamic,No cold soak,,Troncai forest
Domaine Emmanuel Rouget,Bourgogne Rouge,Pinot Noir,Vosne-Romanee,0%,0%,100%,14,Lutte raisonnée,Cool premaceration,Pumping over,Francois Freres & Taransaud
Domaine Emmanuel Rouget,Village,Pinot Noir,Vosne-Romanee,50%,0%,100%,14,Lutte raisonnée,Cool premaceration,,
Domaine Emmanuel Rouget,Premier cru,Pinot Noir,Vosne-Romanee,100%,0%,100%,20,Lutte raisonnée,Cool premaceration,,
Domaine Emmanuel Rouget,Grand cru,Pinot Noir,Vosne-Romanee,100%,0%,100%,20,Lutte raisonnée,Cool premaceration,,
Georges Noëllat,Premier cru,Chardonnay,Meursault,25%,100%,0%,14,Lutte raisonnée,Cool premaceration,,
Marquis d’Angerville,Premier cru,Pinot Noir,Volnay,20%,0%,100%,18,Organic Biodynamic,Cool premaceration,Pumping over,Taransaud & Francois Freres & Remond and Berthomieu
