Domaine,Parcel,Variety,Commue,New Oak,Wholecluster,Destem,Barrel Aging (Month),Viticulture,Maceration,Extraction,Cooper
Domaine Arnoux-Lachaux,Village,Pinot Noir,Vosne-Romanee,0.1,0.7,30%,12,Organic Biodynamic,NA,Pumping over and splashing (delestage),NA
Domaine Arnoux-Lachaux,Premier cru,Pinot Noir,Vosne-Romanee,0.2,0.5,50%,14,Organic Biodynamic,NA,Pumping over and splashing (delestage),NA
Domaine Arnoux-Lachaux,Grand cru,Pinot Noir,Vosne-Romanee,0.3,1,0%,14,Organic Biodynamic,NA,Pumping over and splashing (delestage),NA
Georges Noëllat,Grand cru,Pinot Noir,Vosne-Romanee,1,0,100%,20,Lutte raisonnée,Cool premaceration,Punch-down and pumping over,NA
Georges Noëllat,Premier cru,Pinot Noir,Vosne-Romanee,0.5,0,100%,18,Lutte raisonnée,Cool premaceration,Punch-down,NA
Georges Noëllat,Village,Pinot Noir,Vosne-Romanee,0.25,0,100%,20,Lutte raisonnée,Cool premaceration,Punch-down,NA
Georges Noëllat,Bourgogne Rouge,Pinot Noir,Vosne-Romanee,0.25,0,100%,18,Lutte raisonnée,Cool premaceration,Punch-down and pumping over,
Domaine de la Romanée Conti,Grand cru,Pinot Noir,Vosne-Romanee,1,0.8,20%,18,Organic Biodynamic,No cold soak,NA,Troncai forest
Domaine Emmanuel Rouget,Bourgogne Rouge,Pinot Noir,Vosne-Romanee,0,0,100%,14,Lutte raisonnée,Cool premaceration,Pumping over,Francois Freres & Taransaud
Domaine Emmanuel Rouget,Village,Pinot Noir,Vosne-Romanee,0.5,0,100%,14,Lutte raisonnée,Cool premaceration,NA,NA
Domaine Emmanuel Rouget,Premier cru,Pinot Noir,Vosne-Romanee,1,0,100%,20,Lutte raisonnée,Cool premaceration,NA,NA
Domaine Emmanuel Rouget,Grand cru,Pinot Noir,Vosne-Romanee,1,0,100%,20,Lutte raisonnée,Cool premaceration,NA,NA
Georges Noëllat,Premier cru,Chardonnay,Meursault,0.25,1,0%,14,Lutte raisonnée,Cool premaceration,NA,NA
Marquis d’Angerville,Premier cru,Pinot Noir,Volnay,0.2,0,100%,18,Organic Biodynamic,Cool premaceration,Pumping over,Taransaud & Francois Freres & Remond and Berthomieu
